name,artist,spotify_id,popularity
Children,Constantin Nasiri,4bkF008iGKa7cJKUY08TG4,45
Time,Carlita,5ezPAd58QNujtVCzIflqpU,36
Million Miles Away,Miss Monique,4wDM0nGseA8k7Eh6fHMk5w,58
Everyone's Free (To Wear Sunscreen),HOVR,60pNZp0qEB5uoEWaiWeiX4,39
Queen,Melmont,21CNMJtj74DJdLSaPRowQp,37
RITMO,Argy,3ifvaAvaSYo1WDWXxAiv2A,61
Volar,Seba Campos,4LpDJe2tL9d9JmdYePkISA,38
Always - Monkey Safari Remix,RÜFÜS DU SOL,6hAII4Wyrr0eV4MmPnsTuY,55
Can You See,UOAK,37p0ugAfXrOeqJIgu1i7it,0
Montana,Jasch Patrick,4zmE0mMpI1IEWEWnmysqPl,31
Like Forever - Hernan Cattaneo and Kevin Di Serna Remix,El Mundo,2KXLXUoc4IvnF53qDJH3L7,42
Bulkowa - Wassu Remix,Arina Mur,25oLiAmLN6FE50wzf3AxbC,35
The Sun - Remix,Booka Shade,2U78GocR4PyTKHo7fe1JW3,42
Sensibilité,Marat Mode,47Zesz68LdAs8VlQmQAVLd,33
Hollow (feat. Bonn),MORTEN,7EdPWyTm6EtO5httz2Dcoa,69
In Your Eyes,Sonaba,22WMMLZ8uyJZ7yED5QdIsm,39
Brand New Day,Nico Morano,3JRJNomEZQx2ll73jrWnD3,35
Take Your Time - Budakid Remix,El Mundo,5NFy9NjWFJ9WM3fKFe7JAJ,30
Lissu,Wassu,77FpsyFq4vGchrHovA8EyU,32
Makeda,Alice DiMar,4kar5EtR271EvY3FIFsnJP,58
Infinity,Budakid,3zik1elmcr9X5RLZe1YLGu,31
Amado,MAXI MERAKI,2ZNTl0Fkst8ckJAbm0cwfY,45
A Dream - Sunrise Mix,Rïa Mehta,4uOzWm2JuSpEPScukQAwNR,28
Love Again,Eli & Fur,5vTD0GuutyInvNpOFxLCPi,40
Monday Blues - Pandhora Remix Radio Edit,Eric Sharp,19JfseCw15TUMEdclMy864,43
Everything I Know,Rønhöff,1JeOw9CyENClagN7P9SDrk,32
A Heart To Share - Edit,Fahlberg,5sDhPhgTftbE64s4DiVX56,38
Homesick - Niconé & David Hasert Remix,HOVR,5JZLvQAp8Qe9CWVvyG1MUz,0
Aria,Argy,5vFJOD9V4rHgTLWaBRGQ4N,68
Who Loves The Sun - Rodriguez Jr. Remix,Nu,0h9qrysd6qZzgVnrJdfZes,47
Told U So,Sinca,4hVsuc2erAJEErb9BtHUWP,30
Take Your Time - 2024 version,El Mundo,2VrwIrQLG8gagpgLYMif4C,29
Clear Your Mind - Radio Edit,Tobias Bergson,6To9vNauB6yfjZ0dy1CI83,28
More Love - Rampa &ME Remix,Moderat,70ofkwt6aIb4bPQ51OQMQO,66
Apollo,Hannes Bieger,0OIDeylwHYcoZUffmH8Gko,37
Montana - Marc Werner Remix,Jasch Patrick,4vDTiinasv87r27iHVN7dN,27
Like Forever,El Mundo,5LfsrBhrgR6Gkb3XG6UcpA,27
Confluence,Eric Sharp,6jbzig3XKIgDBvztJ58GZQ,28
Sierra,Argy,5c4gtyaea8i7H1BqRyb2Xp,68
To the Sea - Einmusik Remix,Booka Shade,6yCjfTARifCLjtZ611DWvA,48
Every Breath,Miss Monique,6mTWTcuOnCGktsCXeCEEjK,55
Dreaming - Casper Cole Remix Edit,Jordan Arts,2QlUkqLbDDxDpiMcW7OJrZ,24
Fall,David Ramano,51yZliM5NPTgRK5TKJYsR8,31
Sun is Dark,Sonaba,14DQ4ApIEFzN5Zf71AVlcA,33
Electric,Miss Monique,62piGIpUTsY8HA7tdjfLS8,48
Lost Dream - Tensnake Remix Edit,Aiwaska,2dIjcl3yoLdNjKUNolkXF0,30
Accent,Sandhog,5G1gJ0G25yOg3Gbk8apuzX,35
Daylight,Aalson,69jpeNIfqmHu09cqO1vMon,28
Bulkowa,Arina Mur,4JkoQ5lzo0bvQk13M0e7ch,26
Little Void,El Mundo,78gbnyzlunN48MgWrtjwAb,26
